ru_toxic_comment	ru_neutral_comment
какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	какой еще вид на жительство? он визу показывает,чтоб резиденцию испанскую получить. надо 3.5 года прожить или недвижимость дорогую купить
какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	какой  вид на жительство,он  визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить
какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	Какой вид на жительство? Он визу показывает, чтоб резиденцию испанскую получить, нужно 3,5 года прожить или недвижимость дорогую купить
ну дебил..что с таким чмошником говорить...тебе не на запад..тебе у куев надо..там для тебя все свои будут	О чем с тобой говорить, тебе не на запад надо, а в Киев ...там для тебя все свои будут
жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?	жириновский чертовски прав! не светская львица, а плохая женщина, отгодайте в этом случае кем является блогер?
жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?	Жириновский чертовски прав! Не светская львица, а девушка лёгкого поведения,отгодайте в этом случае кем является блогер?
Не пытайся меня понять. Не напрягай свои зачатки интеллекта.	Не пытайся меня понять, все равно не поймете
зато его урода лправдывают, а людей невиных гнобят.купленые и судьи и адвокаты.твари.	Зато его оправдывают ,а людей невинных обижают ,купленные судьи и адвокаты
идиоты безголовые, ...бог всё видит, бумеранг существует,...ходите и оглядывайтесь уроды	Бог всё видит. Каждый будет отвечать за свои дела.
одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.	"Одного не пойму это насколько надо быть бесчеловечными,чтобы у стариков отбирать последнее и отправлять награбленное домой ,
.плохие люди"
одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.	одного не пойму это кем надо быть, чтобы у стариков отбирать последнее и отправлять награбленное домой.
биба и боба - два долбоёба! один снимает - другой погибает!	Два друга!один снимает другой погибает
какая гадость... уничтожать на корню, эту заразу...	Какая гадость... уничтожать на корню, эту болезнь
я вообще ничего не писала, а вот ты постоянно пишешь, что там сука, давай, доказывал	я вообще ничего не писала, а вот ты постоянно пишешь, что там , давай, доказывал
я вообще ничего не писала, а вот ты постоянно пишешь, что там сука, давай, доказывал	Я вообще ничего не писала, а вот ты постоянно пишешь, что там , давай, доказывал
посадить бойцов в кузов им точно пизда	Посадить бойцов в кузов им вероятно не сдобровать
посадить бойцов в кузов им точно пизда	Посадить бойцов в кузов, и им тогда точно будет плохо.
Сидела задумалась как заебала её эта никчёмная жизнь.	Сидела задумалась как надоела ей её эта жизнь.
Сидела задумалась как заебала её эта никчёмная жизнь.	Сидела задумалась как надоела эта жизнь
получается учитель тупой, исправленного отчества не существует! владиморович	Получается учитель не умный,исправленного отчества не существует!Владимирович
получается учитель тупой, исправленного отчества не существует! владиморович	Получается учитель неграмотен, исправленного отчества не существует! Владиморович
давно пора и надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!	давно пора и надо установить доску позора куда вывешивать фото этих людей которым плохо когда другим хорошо...народ должен знать своих героев!
давно пора и надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!	давно пора и надо установить доску позора куда вывешивать фото этих людей, которым плохо когда другим хорошо...народ должен знать своих героев!
кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя	кто голосует за афганскую борзую ,пройдите в себе,знатоки породы
кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя	Кто голосует за афганскую борзую, пройдите в себе, знатоки породы
, Если модеры сочтут удалить, да в чем проблема то?	Если модераторы решат удалить, да в чем проблема то?
хуй знает кто кум, но девушка красивая👍	Не знаем кто кум,но девушка красивая
хуй знает кто кум, но девушка красивая👍	неизвестно кто кум, но девушка красивая
хуй знает кто кум, но девушка красивая👍	Не знаю кто кум, но девушка красивая👍
аты блять что не хохляр, пиндоская.!	Вы разве не украинец?
У ТЕБЯ ЕСТЬ ПРАВА НА ЗАРПЛАТУ ПО УКАЗАМ ПУТИНА, НО Т ТЯ СРАКА ТЕБЯ ОБМАНЫВАЕТ, НЕ ВЫПОЛНЯЯ УКАЗЫ САМОГО ПУТИНА!	У тебя есть права на зарплату по указам Путина, но она тебя обманывает, не выполняя указы самого путина
уроды, а завтра лука приедет опять просить невозвратный кредит..	А завтра лука приедет опять просить невозвратный кредит
Только вот вся семья его живет в рашке и всех их перевезти не варик	Только вот вся семья его живёт в России и перевезти их всех не вариант.
Только вот вся семья его живет в рашке и всех их перевезти не варик	Только вот вся семья его живет в Росии и всех их перевезти никак
Только вот вся семья его живет в рашке и всех их перевезти не варик	Только вот вся семья его живет в рашке и всех их перевести не вариант
ты идиот я разговор веду и незакого нерешаю еще один агресивный чувырло вот так все и начинается	я разговор веду и незакого нерешаю еще один агресивный человек вот так все и начинается
не нравится сука???а что же ты народы стравливаешь мразь ???....	Не нравится? Что же ты народы ссоришь
что, гандон, сжалось очко ? чс ? алаверды.	Что, испугался? Чс? Алаверды
да по хуй сука пол страны синька чемо.и не хуя молчат.одна кокая мразота известная пережрала водки так пиздец катострофа	То что пол страны пьют-всем все равно, молчат. А как кто из знаменитостей напьётся-так катастрофу из этого делают.
этих сволочей надо расстрелять за жестокое обращение с животным!	Этих людей нужно наказывать за жестокое обращение с животными!
это как так же воспитывают что девочки уже трахаються во всю?) сильно слов нет	Это как так же воспитывают что девочки уже спят во всю? Сильно слов нет
это как так же воспитывают что девочки уже трахаються во всю?) сильно слов нет	Это как же так воспитывают, что девочки вовсю живут половой жизнью? Слов нет совсем
такого пидораса ещё небыло и не будет за всю историю россии русской.	такого человека  ещё не было и не будет за всю историю россии русской.
37 вылетов за 10 минут!!!!! сосите жопу твари	37
потомушто долбоебы, зато щас разнообразного хлама полно	Потому что не в себе, зато сейчас разнообразной ерунды полно
пидор, какой еще координационный совет, который представляет горстку кретинов, стремящихся развалить свою страну?	какой еще координационный совет, который представляет горстку людей, стремящихся развалить свою страну?
ты чё пидор усатый против нас имеешь?	ты что против нас имеешь?
а потом долбоёбы на дорогу лезут после таких автошкол	А потом на дорогу лезут после таких автошкол.
а потом долбоёбы на дорогу лезут после таких автошкол	а потом на дорогу лезут после таких автошкол
хороших людей забирает, а хуйню оставляет, взяточников,	хороших людей забирает,а взяточников оставляет
давно пора такой закон ввести. эта тварь отсидит и снова выйдет и снова будет с.....ка насиловать и убивать.	Давно пора такой закон ввести, этот человек отсидит и снова возмется за старое
шакалы. волк и то кости оставляет.	Волк и то кости оставляет
мне нравится! натали вашу ебучую группу качает, а вы бляяяя марамойки дешевые:d :d :d :d 👎	мне нравится. натали вашу группу качает, а вы не очень стараетесь
ебанутые савсем уже стали сосваим вирусом уже не знают че придумать. пердеть тоже корновирус.	Со своим вирусом уже не знают че придумать.Пукать тоже коронавирус.
ну и тварь эта гадина её покарает господь хороших родитетей тебе малышка🥰	Ее покарает господь. хороших родителей тебе малышка
да,блядь,правильно,но серебряков с этим афоризмом уже заебал!	Да, правильно, но Серебряков с этим афоризмом уже надоел
да,блядь,правильно,но серебряков с этим афоризмом уже заебал!	Правильно, но серебряков с этим афоризмом уже надоел
да,блядь,правильно,но серебряков с этим афоризмом уже заебал!	правильно,но серебряков с этим афоризмом уже надоел
да вообще похуй сколько этот долбоеб получает	да вообще все равно  сколько он получает
да вообще похуй сколько этот долбоеб получает	Мне всё равно сколько он получает.
все людей наебала ,а потом же , что бы деньги не отдавать , ты начинаешь хуйню писать !!	Всех людей обманула а потом же, чтобы деньги не отдавать, ты начинаешь чушь писать!!
все людей наебала ,а потом же , что бы деньги не отдавать , ты начинаешь хуйню писать !!	Все людей обманула, а потом же,что бы деньги не отдавать, ты начинаешь ерунду писать
вот из-за таких пидорасок,, простите девочки и,, семьи распадаются	Вот из-за таких, простите девочки и, семьи распадаются
вот из-за таких пидорасок,, простите девочки и,, семьи распадаются	вот из-за таких легкомысленных особ, простите девочки, и семьи распадаются
у тебя и задевать то нечего, ебланка.	у тебя и задевать то нечего, девушка
а сколько блядь они нам должны ни слова только мы им должны твари ненастные	А сколько они нам должны ни слова только ,мы им должны
а сколько блядь они нам должны ни слова только мы им должны твари ненастные	А о их долгах ни слова, только мы должны
и таких уродов не мало	таких много
и таких уродов не мало	И таких не мало
б расстрел митинга в новочеркасске gать	расстрел митинга в новочеркасске
он тащит электропоезд, а там контактной сети нет.дибил	Он тянет электропоезд, а там контактной сети нет.
он тащит электропоезд, а там контактной сети нет.дибил	Он тащит электропоезд, а там контактной сети нет
он тащит электропоезд, а там контактной сети нет.дибил	он тащит электропоезд, а там контактной сети нет.
да вот совсем насрать какая у него национельность	все равно какая у него национальность
да вот совсем насрать какая у него национельность	да вот совсем без разницы какая у него национальность
да вот совсем насрать какая у него национельность	да вот совсем без разницы какая у него национельность
А ей хочется араба или ниггера...	А ей хочется араба или афроамериканца
А ей хочется араба или ниггера...	А ей хочется встречаться с арабом или афроамериканцем...
без крыльев то какой мудак ездит!	без крыльев то кто ездит!
Прочитай все, что я написал, если не поймешь, прочитай еще раз, потом подумай, потом пиши.	Прочитай все, что я написал, если не поймёшь, прочитай ещё раз, потом подумай, потом пиши.
те в рот дает азером шлюхам сосать молчи не скули пдар	молчи и не жалуйся
причём тут образование сосёт она однако хорошо насосала на генерала	Вопрос в том,как она стала генералом?
говорила ли эта мразь такие слова?	Говорила ли она такие слова
говорила ли эта мразь такие слова?	говорил ли этот человек такие слова
и всё это пренадлежит дипутатам бандюгам пидорасам	и всё это пренадлежит дипутатам
и всё это пренадлежит дипутатам бандюгам пидорасам	и всё это пренадлежит дипутатам
Не понимаю Вашу речь, к счастью.	Не понимаю Вашу речь, к счастью.
у тебя что, ИНТОКСИКАЦИЯ УКРАИНСКИМ МИРОМ?	У тебя перенасыщение украинским миром
блядь !!!полный беспредел ,прям в начале сезона,бомжы вы че совсем что ли прихуели!?!?!?!?	Полный беспредел, прямо в начале сезона, вы что совсем что-ли с ума сошли
долбоёбка, пидаросия уже 6 лет снабжает ордло оружием, боеприпасами, гсм и боевиками.	Россия уже 6 лет снабжает ордло оружием, боеприпасами, гсм и боевиками.
за деньги куда хочешь выйдут. дебилы!	За деньги они куда угодно пойдут. Не умные люди.
за деньги куда хочешь выйдут. дебилы!	За деньги куда хочешь выйдут
Да хз, что ты до меня то докопался ?	да что ты до меня докопался?
не надо этим уродам подсказывать- какой -то чиновник увидит и хана- так и будет )	Не надо нашим чиновникам нечего подсказывать. Увидят и нам плохо будет.
на хуя такое выкладывать, зто и дети будут смотреть долбоебы	Зачем такое выкладывать, это и дети будут смотреть
на хуя такое выкладывать, зто и дети будут смотреть долбоебы	Зачем такое выкладывать, это и дети будут смотреть
тварь присягу один раз,а проебал всю страну	Присягу дал один раз, а разрушил всю страну
правительство дешёвка коньченные 😡 жалко им детей накормить. зато сами жируют твари ебаные.	Правительству жалко детей накормить, а сами зато на широкую ногу
админы вы долбаебы как вы заебали плюсони плюсони на всякую хуйню	Админы, вы уже надоели плюсони плюсони на всякую ерунду.
а ты читать умеешь или дерьмо из жопы прёт в глаза ? тихаботка ты	А ты умеешь вообще читать?
боюсь ей это даже понравиться)) по ней видно что блять еще та.....	Боюсь ей это даже понравилось, по ней было видно
боюсь ей это даже понравиться)) по ней видно что блять еще та.....	Боюсь ей это даже понравиться )) по ней видно что ещё та
люди не в материться надо дох я русском языке других пездатых слов	Люди, не надо материтьсяу нас так много красивых слов
какую хуйню вы порете с телеэкранов, вауу, это пиздец, чтобы в это верить нужно быть полным уебаном	Какую глупость вы говорите с телеэкранов, вауу, это надо же верить в такое
20 лет шли в перёд а оказались в жопе	Двадцать
путин пидар ебанный уходи в отставку.	Путин уходи в отставку
так это у нас, будет, может быть, когда нибудь, вдруг. а ты вчера сосал, сегодня сосешь и завтра сосать будешь.	Так это у нас ,будет ,может быть ,когда-нибудь
так это у нас, будет, может быть, когда нибудь, вдруг. а ты вчера сосал, сегодня сосешь и завтра сосать будешь.	Вдруг когда-то так у нас будет, а ты как жил, так и будешь, и ничего в твоей жизни не изменится
Студент с бабками - хуевый студент	Студент с деньгами-плохой студент
Студент с бабками - хуевый студент	Студент с деньгами - плохой студент
Студент с бабками - хуевый студент	Студент с бабками - плохой студент
да ни у кого просто пиздобол.	Да ни у кого,просто врёт
да ни у кого просто пиздобол.	Да ни у кого, просто врет
порядок бы блять навёл !	Порядок бы навел
порядок бы блять навёл !	порядок бы навёл !
порядок бы блять навёл !	Порядок бы навёл
руки им оторвать за такой асфальт.	Наказать нужно за такой асфальт
а где доказательство? пидарысы с начала дакажите.	а где доказательство? с начала дакажите.
а где доказательство? пидарысы с начала дакажите.	А где локазательство? С начала докажите .
у вас в деревне говнищи все такие политизированные? (h)	У вас в деревне все такие политизированные?
щас через интернет больше шансов что-то здела́ть.видете выдумали пидарасы ковид19	Сейчас через интернет больше шансов что-то сделать, видите, выдумали плохие люди коронавирус
сколько вокруг гандонов пидорасов, узнаём только после	сколько вокруг нехороших людей, узнаем только после
Спалил свой вк постя плохо закрашенную переписку.	Выдал свой вк постя плохо замаскированную переписку
тото ты и ебло своё прячеш для конфискацыи готовишся	ты и лицо свое прячешл для конфискации готовишься
тото ты и ебло своё прячеш для конфискацыи готовишся	То то ты и лицо своё прячешь, к конфискации готовишься
вот, до чего людей довели! мерзавцы!!!	вот, до чего людей довели!
вот, до чего людей довели! мерзавцы!!!	Вот до чего людей Довели!!!
трясутся выродки. кормушка прикрывается. а отвечать придётся.	трясутся. кормушка прикрывается. а отвечать придётся.
а она блядь святая чаще пиздец	А она святая, ну да.
а она блядь святая чаще пиздец	А она святая вообще
да нахуй он кому нужен	Да зачем он кому-то нужен
уроды,вот всегда считала себя воспитанным человеком,но даже эмоций не осталось...	вот всегда считала себя воспитанным человеком,но даже эмоций не осталось...
дура без причины и понимать нечего	Без причины и понимать нечего
мне и моим друзьям крым нужен. ну а пидорасов, согласен, не спросили.	мне и моим друзьям крым нужен, не у всех согласия спросили
Даже хохлы в гейропу не хотят, бабосы не те?	Даже украинцы в Европу не хотят ,деньги не те?
ну как бы..геи и пидорасы- как ни крути, выходят за рамки нормального	ну как бы..люди нетрадиционной ориентации- как ни крути, выходят за рамки нормального
ну как бы..геи и пидорасы- как ни крути, выходят за рамки нормального	Ну как бы геи - как ни крути, выходят за рамки нормального
может вы уже в личке решите,кто у кого отсосет и у какого осла,и кто пидар ,а кто нет.надоели😁😁😁	Может вы уже в личке решите, кто плохой человек, а кто нет
я непоня а почему этому пидору по ибулу не дали	Почему этому человеку ничего не сделали
я вижу что ты за его счёт хочешь набрать много лайков и тебе паебать остальное,где вы таке далбаебы находитесь????пиздуй работать!!!!	я вижу что ты за его счёт хочешь набрать много лайков и тебе всё равно остальное,где вы таке находитесь???? Иди работать!!!!
да иди ты на хуй заебал уже пиздеть.	Хватит ерунду всякую говорить!!!
они ждут только деньги, а за что им заплатят- им нет интереса. лишь бы бабло получить. падлы, предатели на овские.	Они ждут только денег, а за что им заплатят-им нет интереса, лишь бы деньги получить, предатели
они ждут только деньги, а за что им заплатят- им нет интереса. лишь бы бабло получить. падлы, предатели на овские.	они ждут только деньги, а за что им заплатят- им нет интереса. лишь бы бабло получить.
ебанутые , посмотрите на украину.	посмотрите на украину
так будет с каждым кто *попрёт* на юго-восток... укрохерои бля.	так будет с каждым кто *попрёт* на юго-восток...
так будет с каждым кто *попрёт* на юго-восток... укрохерои бля.	Так будет с каждым кто пойдет на Юго-Восток
демократию Что ты об этом знаешь тупорылая пидораха?	Демократию.Что ты об этом знаешь?
демократию Что ты об этом знаешь тупорылая пидораха?	демократию Что ты об этом знаешь
черножопые охерели они и в германии себя чувствуют королями полный трындец а менты спасали свои жизни .	Афроамериканци в Германии себя чувствуют королями, а полиция спасала свои жизни
хуйня.... завдекаловка... потом увидите что на самом деле будет... как всегда обьебаловка народа	Потом увидите что будет. Как всегда народ обманут.
И у меня гамно залежалось, тоже отправлю	и у меня кое-что задержалось, тоже отправлю
да его не то что уважать, его русские будут презирать, как последнюю гадину.	да его не то что уважать, его русские будут презирать
мож тоже видать гордится женой пиздаболкой 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣	мож тоже видать гордится женой
какой пидор эту информацию выложил и зачем	Кто эту информацию выложил и зачем?
какой пидор эту информацию выложил и зачем	Кто и зачем выложил эту инфлрмацию?
пидорас ты сережа, раз такую хуйню прдлогаешь!!!	злой ты сережа, раз такое предлагаешь
Всё норм, хули ты это ваще.	всё норм, с чего ты это вообще.
в глазах чужого государства они конечно красавцы!пидорасы кто россиянам поможет?	В глазах чужого государства они лучшие! Но кто поможет россиянам?
в глазах чужого государства они конечно красавцы!пидорасы кто россиянам поможет?	В глазах другого государства они конечно красавцы.люди , кто россиянам поможет?
динамо на 3 забить а ты пидор все хорошо.	Динамо на 3 забить , а ты все хорошо
Сука! Я знала, что это он! Будете моим свидетелем?	Я так и знала, что это он. Будете моим свидетелем?
Сука! Я знала, что это он! Будете моим свидетелем?	Я знала, что это он! Бедете моим свидетелем?
хорошо что не затаилась тварь	Хорошо что не затаилась создание
таких уродов нужно наказывать .	Такиз нужно наказывать
Что, сцуко, характерно - сзади установлен реактор, появившийся на машине только во второй серии.	Что характерно- с зади установлен реактор, появившийся на машине только во второй серии
Казимирко и сам как дерьмовая система.	Казимир ко и сам как плохая система
Казимирко и сам как дерьмовая система.	Казимирко и сам как плохая система
Казимирко и сам как дерьмовая система.	Казимирко и сам как плохая система.
Повезло мужикам из гей-клуба. С такой классной девчонкой познакомились...	Повезло мужикам из гей-клуба. С такой классной девчонкой познакомились...
прикрои ибальник скоро и тебя сметет народный гнев не переживай	скоро и тебя сметет народный гнев не переживай
писатель хренов, ты сначала ефремова посади	Писатель, ты сначала ефремова посади
Я уже говорил тебе, что такое безумие? Gifx	Я уже говорил тебе, что такое безумие?
Завязывай с бухлом, мать. Какой-то херни нагородила.	Перестань выпивать. Ерунду говоришь.
она самая прикрасная,очаровательное девочка. ни то что ходить по баром х...у сасать пивой запивать.ты умница девочка.	она самая прикрасная,очаровательное девочка. ни то что ходить по баром, ты умница девочка
блять! долбоёбы придумывают сказки и верят в них.а залупа над мацквой не висит?	Некоторые придумывают сказки и верят в них.
танька, ты хуйню то не неси))	Ты ерунду то мне не говори Татьяна
молодец женщина побольше бы таких умных и образованных а не тупое стадо носящий маски	Молодец женщина побольше бы таких умных и образованных,а не таких ненормальных
ни хрена себе! я и не знал что этой жабе при жизни памятник поставили... неужели - насосала?	я и не знал что этой женщине при жизни памятник поставили...
украинский летак ? хохлы , вы ебанулись ? он уже китайский !	Украинский летак? Украинцы вы с ума сошли? Он уже китайский!
нет ничего хуже чем увидетb мразь в человеке готорого ты считал лучшим	Нет ничего хуже чем увидеть плохое в человеке которого ты считал лучшим
Вы что дебил? Кто же будет исследовать собственные косяки? В лучшем случае предлжат усовершенствованную вакцину позже.	Вы чего не понимаете? Кто будет исследовать собственные косяки? В лучшем случае сделают вакцину лучше.
ты мразь почему стыдишься русского языка ??	почему вы стыдиться русского языка?
